Lambda (nm);Elemento;Cor;Lambda (m);1/(Lambda)²;Ângulo e Minuto;Ângulo;Radianos;n;Delta n;Lambda (nm)
404,66;Hg;violeta;4,05E-07;6,11E+12;51°24';51,4;0,897099236;1,652194;0,000310293;404,66
435,83;Hg;azul;4,36E-07;5,26E+12;50°32';50,53;0,881914871;1,64359;0,000307891;407,78
467,81;Cd;azul escuro;4,68E-07;4,57E+12;49°45';49,75;0,868301303;1,635795;0,000305763;546,07
468,01;Zn;azul escuro;4,68E-07;4,57E+12;49°45';49,75;0,868301303;1,635795;0,000305763;578,01
472,21;Zn;azul médio;4,72E-07;4,48E+12;49°40';49,66;0,866730507;1,634891;0,000305519;467,81
479,99;Cd;azul claro;4,80E-07;4,34E+12;49°31';49,51;0,864112513;1,633382;0,000305113;479,99
481,05;Zn;azul claro;4,81E-07;4,32E+12;49°31';49,51;0,864112513;1,633382;0,000305113;508,58
508,58;Cd;verde;5,09E-07;3,87E+12;49°05';49,08;0,856607597;1,629039;0,000303955;643,85
546,07;Hg;verde;5,46E-07;3,35E+12;48°37';48,61;0,848404549;1,624267;0,000302699;468,01
578,01;Hg;amarelo;5,78E-07;2,99E+12;48°17';48,28;0,842644963;1,6209;0,000301822;472,21
636,23;Zn;vermelho;6,36E-07;2,47E+12;47°58';47,96;0,837059909;1,617622;0,000300977;481,05
643,85;Cd;vermelho;6,44E-07;2,41E+12;47°50';47,83;0,834790981;1,616286;0,000300634;636,23
